success,error,date,trade_triggered,message,put_premium,put_breakout_level,call_premium,call_breakout_level,simulation_date,simulation_time,spot_price,atm_strike,ce_oi,pe_oi,oi_ratio
False,'datetime.date' object has no attribute 'date',2025-06-09,,,,,,,,,,,,,
False,'datetime.date' object has no attribute 'date',2025-06-10,,,,,,,,,,,,,
False,'datetime.date' object has no attribute 'date',2025-06-11,,,,,,,,,,,,,
False,'datetime.date' object has no attribute 'date',2025-06-12,,,,,,,,,,,,,
False,'datetime.date' object has no attribute 'date',2025-06-13,,,,,,,,,,,,,
True,,2025-06-16,False,No breakout detected,82.0,90.2,7.8,8.6,2025-06-16,09:20,0.0,23850.0,82209825.0,74937900.0,0.9115443318362495
